CODIGO;ORD;RUBRO;PRECIO;NEW;CARPETA;EAN;LINEA1;LINEA2;LINEA3;LINEA4
ML-ARM01B;;Armarios y Percheros;41900;;FOTOS2;;Organizador De Ropa Perchero Ropero Portable;Material: Metal/Plástico;Medidas: 170 cm x 130 cm x 45 cm;
ML-ARM01G;;Armarios y Percheros;41900;;FOTOS2;;Organizador De Ropa Perchero Ropero Portable;Material: Metal/Plástico;Medidas: 170 cm x 130 cm x 45 cm;
ML-ARM03G;;Armarios y Percheros;28900;;FOTOS2;;Zapatero Gris Organizador De Zapatos 10 Niveles;Material: Metal/Plástico;Medidas: 158 cm x 58 cm x 30 cm;
ML-ARM04G;;Armarios y Percheros;36900;;FOTOS2;;Zapatero Gris Organizador De Zapatos Doble 16 Estantes;Material: Metal/Plástico;Medidas: 141 cm x 113 cm x 30 cm;Peso 3,5 Kg
ML-ARM05G;;Armarios y Percheros;36900;;FOTOS2;;Zapatero Gris Organizador De Zapatos Y Botas 12 Estantes;Material: Metal/Plástico;Medidas: 124 cm x 113 cm x 30 cm;
ML-ARM06B;;Armarios y Percheros;39900;;FOTOS2;;Organizador De Ropa Rack Armario Perchero Triple;Material: Metal/Plástico;Medidas: 170 cm x 160 cm x 36 cm;
ML-ARM06W;;Armarios y Percheros;39900;;FOTOS2;;Organizador De Ropa Rack Armario Perchero Triple;Material: Metal/Plástico;Medidas: 170 cm x 160 cm x 36 cm;
ML-ARM07B;;Armarios y Percheros;36900;;FOTOS2;;Organizado De Ropa Perchero Con Estantes Y Zapatero;Material: Metal/Plástico;Medidas: 170 cm x 95 cm x 36 cm;
ML-ARM07W;;Armarios y Percheros;36900;;FOTOS2;;Organizado De Ropa Perchero Con Estantes Y Zapatero;Material: Metal/Plástico;Medidas: 170 cm x 95 cm x 36 cm;
ML-ARM08B;;Armarios y Percheros;46900;;FOTOS2;;Organizado De Ropa Perchero Con Estantes Y Zapatero;Material: Metal/Plástico;Medidas: 170 cm x 130 cm x 36 cm;
ML-ARM08W;;Armarios y Percheros;46900;;FOTOS2;;Organizado De Ropa Perchero Con Estantes Y Zapatero;Material: Metal/Plástico;Medidas: 170 cm x 130 cm x 36 cm;
ML-ARM09B;;Armarios y Percheros;32900;;FOTOS2;;Organizador De Ropa Rack;Material: Metal/Plástico;Medidas: 1,7m, x 1,07m, x 0,36m;Peso 3,5 Kg
ML-ARM09W;;Armarios y Percheros;32900;;FOTOS2;;Organizador De Ropa Rack;Material: Metal/Plástico;Medidas: 1,7m, 1,07m, 0,36m;Peso 3,5 Kg
ML-RACK01B;;Armarios y Percheros;62900;;FOTOS2;;Organizado de Ropa y Calzado con Perchero Doble | Negro;Material: Metal;Medidas: 1,60m x 1,10m x 0,55m;Soporta 48kg
ML-RACK01W;;Armarios y Percheros;62900;;FOTOS2;;Organizado de Ropa y Calzado con Perchero Doble | Blanco;Material: Metal;Medidas: 1,60m x 1,10m x 0,55m;Soporta 48kg
