RUBRO;CODIGO;PRECIO;LINEA1;LINEA2;LINEA3;LINEA4
Air-Fryer;D-AF6500-B;87900;Linea 1;Linea 2;Linea 3;Linea 4
Air-Fryer;D-AF6510-B;79900;Linea 1;Linea 2;Linea 3;Linea 4
Air-Fryer;D-AF6510-W;79900;Linea 1;Linea 2;Linea 3;Linea 4
Aspiradoras;D-AS100;21900;Linea 1;Linea 2;Linea 3;Linea 4
Aspiradoras;D-AS101;30900;Linea 1;Linea 2;Linea 3;Linea 4
Aspiradoras;D-AS102;33900;Linea 1;Linea 2;Linea 3;Linea 4
Aspiradoras;D-AS200;119900;Linea 1;Linea 2;Linea 3;Linea 4
Aspiradoras;D-AS201;145900;Linea 1;Linea 2;Linea 3;Linea 4
Aspiradoras;D-AS300;57900;Linea 1;Linea 2;Linea 3;Linea 4
Aspiradoras;D-AS400;74900;Linea 1;Linea 2;Linea 3;Linea 4
Aspiradoras;D-AS500;89900;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU100-BK;3700;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU100-WE;3700;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU102-WE;9900;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU103-BR;3700;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU104-BK;3700;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU106-BR;3700;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU107-BK;3700;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU303-GD;14900;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU303-RG;14900;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU307-BK;14900;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU307-GN;14900;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU307-PK;14900;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU307-PU;14900;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU308-GN;14900;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU308-PK;14900;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU310-BK;21900;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU315-BK;25500;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU401;22900;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU402;15900;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU512-BK;14900;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU513-BK;15900;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU515-BK;19900;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU516-BK;16900;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU517-BK;19900;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU518-BK;19900;Linea 1;Linea 2;Linea 3;Linea 4
Auriculares;D-AU519-WE;17900;Linea 1;Linea 2;Linea 3;Linea 4
Camas Elásticas;D-CE18-BU;199900;Linea 1;Linea 2;Linea 3;Linea 4
Camas Elásticas;D-CE24-BU;245900;Linea 1;Linea 2;Linea 3;Linea 4
Cafeteras;D-CF1000;29900;Linea 1;Linea 2;Linea 3;Linea 4
Cafeteras;D-CF2000;159900;Linea 1;Linea 2;Linea 3;Linea 4
Cafeteras;D-CF3000;299900;Linea 1;Linea 2;Linea 3;Linea 4
Cortadoras de Fiambre;D-COR150-B;94900;Linea 1;Linea 2;Linea 3;Linea 4
Cortadoras de Fiambre;D-COR150-S;94900;Linea 1;Linea 2;Linea 3;Linea 4
Seguridad;D-CS01;38900;Linea 1;Linea 2;Linea 3;Linea 4
Seguridad;D-CS02;27900;Linea 1;Linea 2;Linea 3;Linea 4
Seguridad;D-CS03;59900;Linea 1;Linea 2;Linea 3;Linea 4
Cafeteras;D-ES300-B;49900;Linea 1;Linea 2;Linea 3;Linea 4
Sillón Gamer;D-GA5-BU;149900;Linea 1;Linea 2;Linea 3;Linea 4
Sillón Gamer;D-GA5-GN;149900;Linea 1;Linea 2;Linea 3;Linea 4
Sillón Gamer;D-GA5-GY;149900;Linea 1;Linea 2;Linea 3;Linea 4
Sillón Gamer;D-GA5-RD;149900;Linea 1;Linea 2;Linea 3;Linea 4
Sillón Gamer;D-GA5-WE;149900;Linea 1;Linea 2;Linea 3;Linea 4
Inversores;D-INV1000;59900;Linea 1;Linea 2;Linea 3;Linea 4
Inversores;D-INV1500;74900;Linea 1;Linea 2;Linea 3;Linea 4
Inversores;D-INV2000;96900;Linea 1;Linea 2;Linea 3;Linea 4
Inversores;D-INV500;40900;Linea 1;Linea 2;Linea 3;Linea 4
Máquina de Coser;D-MC12;63900;Linea 1;Linea 2;Linea 3;Linea 4
Microondas;D-MW1-20MB;145900;Linea 1;Linea 2;Linea 3;Linea 4
Microondas;D-MW1-20MW;145900;Linea 1;Linea 2;Linea 3;Linea 4
Microondas;D-MW2-20M;145900;Linea 1;Linea 2;Linea 3;Linea 4
Microondas;D-MW3-20D;165900;Linea 1;Linea 2;Linea 3;Linea 4
Microondas;D-MW4-25D;225900;Linea 1;Linea 2;Linea 3;Linea 4
Procesadoras;D-PI1200-B;84900;Linea 1;Linea 2;Linea 3;Linea 4
Procesadoras;D-PI1200-W;84900;Linea 1;Linea 2;Linea 3;Linea 4
Procesadoras;D-PR500-BK;33900;Linea 1;Linea 2;Linea 3;Linea 4
Procesadoras;D-PR500-BU;33900;Linea 1;Linea 2;Linea 3;Linea 4
Radios;D-RK1;19900;Linea 1;Linea 2;Linea 3;Linea 4
Radios;D-RK7;19900;Linea 1;Linea 2;Linea 3;Linea 4
Radios;D-RP38-BK;39900;Linea 1;Linea 2;Linea 3;Linea 4
Radios;D-RP38-RD;39900;Linea 1;Linea 2;Linea 3;Linea 4
Radios;D-RP50USB;26900;Linea 1;Linea 2;Linea 3;Linea 4
Radios;D-RP60PROB;35900;Linea 1;Linea 2;Linea 3;Linea 4
Radios;D-RP60PROS;35900;Linea 1;Linea 2;Linea 3;Linea 4
Parlantes;D-S8000BT;42900;Linea 1;Linea 2;Linea 3;Linea 4
Parlantes;D-S8010BT;99900;Linea 1;Linea 2;Linea 3;Linea 4
Parlantes;D-S8040BT;159900;Linea 1;Linea 2;Linea 3;Linea 4
Sartén Eléctrica;D-SAR1500;54900;Linea 1;Linea 2;Linea 3;Linea 4
Soportes TV;D-SOP3275;50900;Linea 1;Linea 2;Linea 3;Linea 4
Soportes TV;D-SOPSL;37900;Linea 1;Linea 2;Linea 3;Linea 4
Tachos Eléctricos;D-TA50;179900;Linea 1;Linea 2;Linea 3;Linea 4
Monopatines;D-V100-WE;629900;Linea 1;Linea 2;Linea 3;Linea 4
Monopatines;D-V102-BK;899900;Linea 1;Linea 2;Linea 3;Linea 4
Monopatines;D-V200-GY;1049900;Linea 1;Linea 2;Linea 3;Linea 4
Monopatines;D-V300-BK;1499900;Linea 1;Linea 2;Linea 3;Linea 4
Monopatines;D-V301-BK;2099900;Linea 1;Linea 2;Linea 3;Linea 4
